"Image ID","Repository Name","Image Tag","Times Used","Size"
"sha256:174c8c134b2a94b5bb0b37d9a2b6ba0663d82d23ebf62bd51f74a2fd457333da","ubuntu","latest","2","77850032"
"sha256:f8c20f8bbcb684055b4fea470fdd169c86e87786940b3262335b12ec3adef418","alpine","latest","1","7377066"
"sha256:76506809a39f757be47f9265b73ce068cf62701ef9b1f02fcbb65535ab57cad6","redis","latest","0","137770939"
"sha256:f5fb98afcf9f5c6e8e069557f605b15b52643166c82ac5695f49fc6b0be04ee8","busybox","latest","1","4261566"
"sha256:9b10bdf158d5755788b4ff4c18948be473103b19add75601ace79ea8d6bfde49","mongo","latest","0","756827577"
"sha256:c20060033e06f882b0fbe2db7d974d72e0887a3be5e554efdb0dcf8d53512647","nginx","latest","2","186779301"
"sha256:6f90e67c6517ddbfbd701490443ca2645964d5a4da0382e9c144ecfaaa972d4b","maven","latest","3","508655066"
"sha256:d2c94e258dcb3c5ac2798d32e1249e42ef01cba4841c2234249495f87264ac5a","hello-world","latest","1","13256"
